id,name,,,
1,和食,和食,,
2, 日本料理,日本料理,,
3, 寿司,寿司,,
4, 魚介・海鮮料理,魚介・海鮮料理,,
5, そば（蕎麦）,そば（蕎麦）,,
6, うどん,うどん,,
7, うなぎ,うなぎ,,
8, 焼き鳥,焼き鳥,,
9,とんかつ,とんかつ,,
10, 串揚げ,串揚げ,,
11, 天ぷら,天ぷら,,
12, お好み焼き,お好み焼き,,
13, もんじゃ焼き,もんじゃ焼き,,
14, しゃぶしゃぶ,しゃぶしゃぶ,,
15, 沖縄料理,沖縄料理,,
16,洋食,洋食,,
17, フレンチ,フレンチ,,
18, イタリアン,イタリアン,,
19, スペイン料理,スペイン料理,,
20, パスタ,パスタ,,
21, ピザ,ピザ,,
22, ステーキ,ステーキ,,
23,ハンバーグ,ハンバーグ,,
24, ハンバーガー,ハンバーガー,,
25, 中華料理,中華料理,,
26, 餃子,餃子,,
27, 韓国料理,韓国料理,,
28, タイ料理,タイ料理,,
29, ラーメン,ラーメン,,
30,カレー,カレー,,
31, 焼肉,焼肉,,
32, ホルモン,ホルモン,,
33, 鍋,鍋,,
34, もつ鍋,もつ鍋,,
35, 居酒屋,居酒屋,,
36, バイキング,バイキング,,
37, カフェ,カフェ,,
38, パン屋,パン屋,,
39,スイーツ,スイーツ,,
40, ケーキ,ケーキ,,
41, バー・お酒,バー・お酒,,
42, 旅館,旅館,,