id,name,url,genre_id,user_id,address,area_id
1,かにチャーハンのお店,https://tabelog.com/tokyo/A1303/A130301/13005407/,25,1,東京都渋谷区宇田川町31-4 篠田ビル　３Ｆ,2
2,THE RIGOLETTO,https://tabelog.com/tokyo/A1303/A130301/13207146/,18,1,東京都渋谷区渋谷1-23-21 渋谷キャストGF 1F,2
3,菜々,https://tabelog.com/tokyo/A1303/A130301/13108850/,4,1,東京都渋谷区道玄坂1-12-5 渋谷マークシティ RESTAURANTS AVENUE 4F,3
4,北陸旬鮮かわせ,https://tabelog.com/tokyo/A1303/A130301/13196040/,4,1,東京都渋谷区宇田川町2-1 渋谷ホームズ B1F,1
5,The Manhattan FISH MARKET,https://tabelog.com/tokyo/A1303/A130301/13218618/,16,1,東京都渋谷区神宮前6-25-16 いちご神宮前ビル B1F,1
6,biodinamico,https://tabelog.com/tokyo/A1303/A130301/13096558/,18,1,東京都渋谷区神南1-19-14 クリスタルポイントビル 3F,1
7,葱や平吉,https://tabelog.com/tokyo/A1303/A130301/13024073/,35,1,東京都渋谷区宇田川町36-18,1
8,KINKA,https://tabelog.com/tokyo/A1303/A130301/13199924/,4,1,東京都渋谷区宇田川町3-10 いちごフィエスタ渋谷 2F,1
9,神南軒,https://tabelog.com/tokyo/A1303/A130301/13005411/,16,1,東京都渋谷区神南1-20-5 VORT　渋谷　Kaleido　９Ｆ,1
10,虎視眈々,https://tabelog.com/tokyo/A1303/A130301/13094313/,8,1,東京都渋谷区宇田川町10-2 新東京ビル　１Ｆ,1
11,越後屋 三太夫,https://tabelog.com/tokyo/A1303/A130301/13139798/,4,1,東京都渋谷区道玄坂2-6-15 ユニ道玄坂ビル B1F,3
12,末代,https://tabelog.com/tokyo/A1303/A130301/13223551/,8,1,東京都渋谷区道玄坂2-6-12 道玄坂トロワービル 3F,3
13,漁十八番,https://tabelog.com/tokyo/A1303/A130301/13090034/,4,1,東京都渋谷区道玄坂2-6-12 道玄坂トロワービル 2F,3
14,佐五右衛門,https://tabelog.com/tokyo/A1303/A130301/13157092/dtlrvwlst/,8,1,東京都渋谷区道玄坂2-29-8 道玄坂センタービル 4F,3
15,廻る寿司台所屋,https://tabelog.com/tokyo/A1303/A130301/13037261/,4,1,東京都渋谷区道玄坂2-15-1 ノア道玄坂1Ｆ,1
16,肴とり,https://tabelog.com/tokyo/A1303/A130301/13198186/,4,1,東京都渋谷区円山町1-3 猪鼻ビル 2F,2
17,三浦のハンバーグ,https://tabelog.com/tokyo/A1303/A130301/13200140/,23,1,東京都渋谷区道玄坂2-25-9 ロマーネ80　2Ｆ,2
18,コックマン,https://tabelog.com/tokyo/A1303/A130301/13115594/,35,1,東京都渋谷区道玄坂2-25-14 堀田ビル　１F,2
19,IL Ritrovo shibuya,https://tabelog.com/tokyo/A1303/A130301/13208743/,18,1,東京都渋谷区宇田川町31-1 ヒューリックアンニュー・シブヤ 9F,1
20,金ちゃん,https://tabelog.com/tokyo/A1303/A130301/13199391/,27,1,東京都渋谷区宇田川町30-5 渋谷JOWビル 9F,1
21,陳家私菜,https://tabelog.com/tokyo/A1303/A130301/13128819/,25,1,東京都渋谷区神南1-16-3 ブルーヴァールビルB1,1
22,いくどん,https://tabelog.com/tokyo/A1303/A130301/13012511/dtlmenu/,31,1,東京都渋谷区道玄坂2-25-10 ベニー清建ビル 2F,1